smu;nb_polys;area
"320053;1;1.702970375"
"320059;1;92.019728"
"320067;1;2.398851"
"320075;3;4.657111"
"320076;5;226.743249"
"320084;7;579.18897"
"330084;26;3089.73501006"
"330085;16;1801.87855"
"330086;8;2531.438468"
"330087;3;174.6416785"
"330088;6;1429.1688"
"330089;10;1289.67286337"
"330090;3;971.940672"
"330091;33;6121.25521322"
"330093;13;207.732948125"
"330094;45;5608.89463403"
"330095;36;9958.18172075"
"330096;14;5448.75105031"
"330097;2;146.016248"
"330098;1;1311.956736"
"330099;33;1099.7196333"
"330100;1;268.40456"
"330101;24;1274.80780388"
"330102;2;56.6738345625"
"330103;1;20.817686"
"330104;7;1580.538486"
"330105;13;778.20493"
"330106;7;1235.227982"
"330107;37;598.908211344"
"330108;9;1364.04536613"
"330109;29;2668.68373862"
"330110;10;1216.579726"
"330111;22;3410.88579275"
"330112;8;2593.9161365"
"330113;4;408.437025"
"330114;3;261.276788"
"330115;18;789.781563"
"330116;10;2521.874764"
"330117;5;111.13344075"
"330118;5;247.643461"
"330119;12;3280.74738"
"330120;4;651.807472"
"330121;4;1721.061652"
"330122;6;519.062248"
"330123;10;427.2690755"
"330124;1;18.271922"
"330125;7;921.793831"
"330126;16;998.615885"
"330127;13;833.456082"
"330128;15;502.479298"
"330129;1;72.160392"
"330130;5;5716.902272"
"330131;1;186.34216"
"330132;163;13733.9376404"
"330133;25;1800.11606725"
"330134;14;2754.3352085"
"330135;4;1757.943192"
"330136;6;1425.106666"
"330137;11;1787.910898"
"330138;5;1576.001428"
"330139;43;5493.1969485"
"330140;4;427.124791"
"330141;2;217.788478"
"330142;3;932.605488"
"330143;20;1684.9004185"
"330144;14;7647.11108989"
"330145;18;4123.1978955"
"330146;13;1378.105492"
"330147;4;812.91934"
"330148;8;681.601859"
"330149;1;80.385696"
"330150;16;977.128856"
"330151;5;2406.718064"
"330152;3;139.882072"
"330153;2;652.729696"
"330154;3;120.6652735"
"330155;2;275.26464"
"330156;2;454.826544"
"330157;72;1120.02786003"
"330158;37;3150.93241628"
"330159;23;1972.14202569"
"330160;9;1472.09931325"
"330162;7;2342.75542825"
"330163;1;38.338704"
"330164;2;145.728648"
"330165;7;4502.555842"
"330166;2;519.0822"
"330167;2;28.812952"
"330168;1;237.53232"
"330169;2;242.3531115"
"330170;15;749.543035844"
"330171;9;1653.819425"
"330172;2;52.407102"
"330173;1;301.503136"
"330174;33;1852.78940541"
"330175;21;1259.690985"
"330176;6;1682.752868"
"330177;12;759.047101375"
"330178;26;2845.0241385"
"330179;3;275.799472"
"330180;55;13614.3000845"
"330181;1;140.030224"
"330182;1;150.478288"
"330183;9;2247.02649"
"330184;2;375.16324"
"330185;2;51.481092"
"330186;4;87.6940685"
"330187;8;139.2759195"
"330188;49;877.909887"
"330189;3;272.233356"
"330190;5;122.15400525"
"330191;5;278.778044"
"330192;8;257.4499905"
"330193;1;24.330644"
"330194;7;423.200388"
"330195;9;3401.900488"
"330607;94;18360.1409386"
"330608;5;877.942096"
"330609;28;2568.325584"
"330610;22;3930.784493"
"330611;4;1884.666512"
"330612;1;3106.313472"
"330613;1;187.279872"
"330614;10;2297.254591"
"330615;8;5993.731394"
"330616;6;943.019828"
"330617;49;8183.833701"
"330618;54;9248.926785"
"330619;30;4423.424983"
"330620;14;1966.99512425"
"330621;8;2014.538372"
"330622;7;508.0751595"
"330623;4;8941.812468"
"330624;1;1804.70656"
"330625;4;283.634164"
"330626;27;3174.826278"
"330628;9;1507.173966"
"330629;8;11534.856612"
"330630;7;469.1831855"
"330631;3;3379.410752"
"330632;9;6417.278105"
"330633;14;3391.980483"
"330634;13;3456.826425"
"330635;3;325.945468"
"330636;5;3963.081914"
"330637;3;916.565064"
"330638;3;906.265968"
"330639;1;89.27692"
"330640;1;31.516482"
"330641;2;616.592288"
"330642;3;147.304958"
"330643;1;75.816888"
"330644;4;595.97544"
"330645;21;3487.101943"
"330646;9;640.984479"
"330647;3;564.213964"
"330648;22;5638.54424238"
"330649;14;2071.33441"
"330650;13;989.263444"
"330651;2;889.973712"
"330652;22;1437.514591"
"330653;7;908.5923905"
"330654;22;2374.25145275"
"330655;11;2480.17057"
"330656;5;328.167154"
"330657;6;1447.563712"
"330658;13;2732.788683"
"330659;1;186.977616"
"330660;5;1152.571124"
"330661;12;969.583799"
"330662;10;622.654005"
"330663;27;10036.424652"
"330664;11;961.587874"
"330665;19;3415.073245"
"330666;3;1552.922112"
"330667;24;3430.60613778"
"330668;1;591.314432"
"330669;2;51.287286"
"330670;5;351.611686"
"330671;11;1104.57546063"
"330672;14;2126.690628"
"330673;11;2406.333188"
"330674;27;2331.2127855"
"330675;3;84.525991"
"330676;1;534.50864"
"330677;16;3177.02558141"
"330678;14;5181.2938255"
"330679;13;2149.253624"
"330681;93;13541.293959"
"330682;4;441.978468"
"330683;25;6289.703293"
"330684;12;451.0020165"
"330685;10;1229.06403375"
"330686;4;703.240208"
"330688;2;295.304376"
"330689;5;3338.50992"
"330690;7;898.794808"
"330691;7;1958.049908"
"330692;3;239.604395"
"330693;6;1613.641583"
"330695;3;573.57793"
"330696;28;5041.26231269"
"330697;3;826.49378"
"330698;3;3202.707936"
"330699;3;1047.92736"
"330700;1;214.526528"
"330701;2;127.987794"
"330702;11;820.766369"
"330703;33;1089.4890055"
"330704;8;1192.695592"
"330705;7;2126.242012"
"330706;6;480.788399"
"330707;2;6.7999615"
"330708;4;452.275672"
"330709;2;99.488488"
"330710;1;553.691648"
"330711;1;401.90736"
"330712;39;3252.470478"
"330714;29;7791.126848"
"330715;5;1890.04616"
"330717;6;412.045884"
"330718;3;1604.438014"
"330719;6;379.846442"
"330720;6;595.749992"
"330721;4;303.943085"
"330722;8;2401.345628"
"330723;2;417.9196"
"330724;25;2782.1441065"
"330725;8;419.403024"
"330726;2;346.768544"
"330727;20;1334.08553425"
"330728;60;5614.2674515"
"330729;46;1674.4550895"
"330730;4;359.416536"
"330731;9;488.390533"
"330732;1;75.045712"
"330733;7;1259.8192025"
"330734;25;1228.2802145"
"330735;16;2073.40070963"
"330736;21;6804.111832"
"330737;14;394.29390275"
"330738;3;4718.12794"
"330739;16;601.3732775"
"330740;22;695.170611"
"330741;6;3943.764168"
"330742;4;3368.298896"
"330743;1;258.485552"
"330744;6;1124.852448"
"330745;3;851.357732"
"330746;2;97.332496"
"330747;22;8136.65941975"
"330748;10;2936.410811"
"330749;1;913.839552"
"330750;7;2231.801746"
"330751;2;102.82914"
"330752;3;43.014686"
"330754;4;191.31747"
"330755;2;501.778624"
"330757;12;387.5105145"
"330758;9;264.110636063"
"330759;31;207.918157375"
"330760;13;1083.428201"
"330761;3;546.624972"
"330762;2;135.5548995"
"330763;4;1777.21671612"
"330765;2;52.203202"
"330766;1;332.52992"
"330767;2;568.58744"
"330769;6;1151.471131"
"330770;9;1322.635776"
"330771;4;531.948944"
"330772;3;1307.898032"
"330773;4;302.539192"
"331322;14;2849.378026"
"336192;1;281.040288"
"336302;3;305.621808"
"336862;14;6324.07607425"
"337032;5;310.29845"
"337122;20;3611.232968"
"337242;15;8125.144427"
"337262;6;830.744035"
"337582;11;738.673077"
"337583;4;384.099975"
"337584;1;91.150376"
"337585;3;152.00691975"
"337587;2;109.3125"
"337588;2;414.8044"
"337589;3;644.879915625"
"340225;1;9.461718"
"340228;1;21.933924"
"340229;1;67.817456"
"340580;3;23.4423775"
"340588;1;6.313834"
"340594;3;968.299264"
"340595;9;1322.2370665"
"340596;1;83.827216"
"390266;2;8.943430125"
"390267;8;152.242850875"
"390268;5;39.852920625"
"390272;2;136.090128"
"390282;1;2.92799575"
"390294;2;13.020548125"
"390296;1;1463.200768"
"390297;1;3032.049664"
"390298;1;4729.197568"
"390299;3;872.284630875"
"490013;1;12.077368"
"490043;1;4.148699"
"490065;1;12.731154"
"490069;1;2.91348225"
"490077;2;298.794224"
"490078;3;95.274064"
"490079;1;25.25561"
"490080;3;656.304658"
"490082;2;1451.935744"
"490083;2;158.726424"
"3520408;1;1.126847"
"3520415;1;20.334152"
