stu;nb_polys;nb_smu;area;soil;soil90;text1;text2;slope1;slope2;aglim1;aglim2;mat1;mat2;zmin;zmax;use1;use2;dt;td1;td2;roo;il;wr;wm1;wm2;wm3;cfl
"320199;1;1;1.1920792625;\"Jeg\";\"\";2;4;1;0;1;21;\"110\";\"\";0;200;1;2;5;0;5;1;2;3;1;1;2;\"H\""
"320200;1;1;0.340594075;\"Je\";\"\";2;4;1;0;1;21;\"110\";\"\";0;200;1;2;4;1;0;1;1;2;1;1;2;\"M\""
"320201;1;1;0.08514851875;\"Bef\";\"\";2;9;1;0;1;21;\"110\";\"\";0;200;1;2;5;1;0;1;1;4;1;1;2;\"M\""
"320202;1;1;0.08514851875;\"B\";\"\";3;4;1;0;1;21;\"110\";\"\";1;200;1;2;5;3;2;1;1;1;1;4;2;\"H\""
"320219;1;1;73.6157824;\"Ql\";\"\";1;0;2;1;1;1;\"454\";\"451\";300;450;3;5;5;1;1;1;1;4;2;0;0;\"L\""
"320220;1;1;4.6009864;\"Lo\";\"\";1;2;2;1;1;1;\"454\";\"451\";300;450;3;5;5;2;2;1;1;4;2;0;0;\"M\""
"320221;1;1;4.6009864;\"Ph\";\"\";1;0;3;2;1;3;\"454\";\"451\";300;450;3;5;3;1;9;3;1;3;2;0;0;\"L\""
"320222;1;1;4.6009864;\"I\";\"\";0;0;3;2;3;1;\"454\";\"451\";300;450;3;5;0;9;9;3;1;0;2;0;0;\"H\""
"320223;1;1;4.6009864;\"Je\";\"\";2;1;1;0;1;1;\"454\";\"451\";300;450;3;5;3;2;2;1;0;4;1;1;2;\"H\""
"320250;1;1;1.4393106;\"Lo\";\"\";3;0;2;0;1;1;\"521\";\"510\";50;150;3;1;5;2;3;1;1;3;2;0;0;\"H\""
"320251;1;1;0.4797702;\"Je\";\"\";3;0;1;0;1;1;\"510\";\"\";50;150;3;1;5;2;3;2;1;3;1;1;2;\"H\""
